Symbol,Date,Close
GOOG,"Mar 8, 2019",57.12
GOOG,"Mar 11, 2019",58.79
GOOG,"Mar 12, 2019",59.66
GOOG,"Mar 13, 2019",59.67
GOOG,"Mar 14, 2019",59.28
GOOG,"Mar 15, 2019",59.22
GOOG,"Mar 18, 2019",59.21
GOOG,"Mar 19, 2019",59.94
GOOG,"Mar 20, 2019",61.2
GOOG,"Mar 21, 2019",61.58
GOOG,"Mar 22, 2019",60.28
GOOG,"Mar 25, 2019",59.65
GOOG,"Mar 26, 2019",59.23
GOOG,"Mar 27, 2019",58.65
GOOG,"Mar 28, 2019",58.42
GOOG,"Mar 29, 2019",58.67
GOOG,"Apr 1, 2019",59.72
GOOG,"Apr 2, 2019",60.02
GOOG,"Apr 3, 2019",60.3
GOOG,"Apr 4, 2019",60.75
GOOG,"Apr 5, 2019",60.36
GOOG,"Apr 8, 2019",60.19
GOOG,"Apr 9, 2019",59.86
GOOG,"Apr 10, 2019",60.11
GOOG,"Apr 11, 2019",60.23
GOOG,"Apr 12, 2019",60.89
GOOG,"Apr 15, 2019",61.06
GOOG,"Apr 16, 2019",61.36
GOOG,"Apr 17, 2019",61.82
GOOG,"Apr 18, 2019",61.82
GOOG,"Apr 22, 2019",62.44
GOOG,"Apr 23, 2019",63.23
GOOG,"Apr 24, 2019",62.8
GOOG,"Apr 25, 2019",63.17
GOOG,"Apr 26, 2019",63.61
GOOG,"Apr 29, 2019",64.38
GOOG,"Apr 30, 2019",59.42
GOOG,"May 1, 2019",58.4
GOOG,"May 2, 2019",58.13
GOOG,"May 3, 2019",59.27
GOOG,"May 6, 2019",59.47
GOOG,"May 7, 2019",58.71
GOOG,"May 8, 2019",58.31
GOOG,"May 9, 2019",58.12
GOOG,"May 10, 2019",58.21
GOOG,"May 13, 2019",56.6
GOOG,"May 14, 2019",56.02
GOOG,"May 15, 2019",58.21
GOOG,"May 16, 2019",58.95
GOOG,"May 17, 2019",58.12
GOOG,"May 20, 2019",56.94
GOOG,"May 21, 2019",57.48
GOOG,"May 22, 2019",57.57
GOOG,"May 23, 2019",57.04
GOOG,"May 24, 2019",56.67
GOOG,"May 28, 2019",56.71
GOOG,"May 29, 2019",55.82
GOOG,"May 30, 2019",55.9
GOOG,"May 31, 2019",55.18
GOOG,"Jun 3, 2019",51.81
GOOG,"Jun 4, 2019",52.65
GOOG,"Jun 5, 2019",52.11
GOOG,"Jun 6, 2019",52.22
GOOG,"Jun 7, 2019",53.3
GOOG,"Jun 10, 2019",54.02
GOOG,"Jun 11, 2019",53.94
GOOG,"Jun 12, 2019",53.85
GOOG,"Jun 13, 2019",54.44
GOOG,"Jun 14, 2019",54.27
GOOG,"Jun 17, 2019",54.63
GOOG,"Jun 18, 2019",55.18
GOOG,"Jun 19, 2019",55.12
GOOG,"Jun 20, 2019",55.57
GOOG,"Jun 21, 2019",56.09
GOOG,"Jun 24, 2019",55.78
GOOG,"Jun 25, 2019",54.32
GOOG,"Jun 26, 2019",53.99
GOOG,"Jun 27, 2019",53.8
GOOG,"Jun 28, 2019",54.05
GOOG,"Jul 1, 2019",54.9
GOOG,"Jul 2, 2019",55.56
GOOG,"Jul 3, 2019",56.08
GOOG,"Jul 5, 2019",56.58
GOOG,"Jul 8, 2019",55.82
GOOG,"Jul 9, 2019",56.24
GOOG,"Jul 10, 2019",57.02
GOOG,"Jul 11, 2019",57.21
GOOG,"Jul 12, 2019",57.25
GOOG,"Jul 15, 2019",57.52
GOOG,"Jul 16, 2019",57.68
GOOG,"Jul 17, 2019",57.32
GOOG,"Jul 18, 2019",57.32
GOOG,"Jul 19, 2019",56.51
GOOG,"Jul 22, 2019",56.9
GOOG,"Jul 23, 2019",57.31
GOOG,"Jul 24, 2019",56.89
GOOG,"Jul 25, 2019",56.61
GOOG,"Jul 26, 2019",62.52
GOOG,"Jul 29, 2019",61.97
GOOG,"Jul 30, 2019",61.26
GOOG,"Jul 31, 2019",60.83
GOOG,"Aug 1, 2019",60.45
GOOG,"Aug 2, 2019",59.7
GOOG,"Aug 5, 2019",57.62
GOOG,"Aug 6, 2019",58.5
GOOG,"Aug 7, 2019",58.7
GOOG,"Aug 8, 2019",60.24
GOOG,"Aug 9, 2019",59.4
GOOG,"Aug 12, 2019",58.74
GOOG,"Aug 13, 2019",59.86
GOOG,"Aug 14, 2019",58.21
GOOG,"Aug 15, 2019",58.36
GOOG,"Aug 16, 2019",58.88
GOOG,"Aug 19, 2019",59.92
GOOG,"Aug 20, 2019",59.13
GOOG,"Aug 21, 2019",59.56
GOOG,"Aug 22, 2019",59.48
GOOG,"Aug 23, 2019",57.56
GOOG,"Aug 26, 2019",58.44
GOOG,"Aug 27, 2019",58.39
GOOG,"Aug 28, 2019",58.55
GOOG,"Aug 29, 2019",59.64
GOOG,"Aug 30, 2019",59.41
GOOG,"Sep 3, 2019",58.42
GOOG,"Sep 4, 2019",59.07
GOOG,"Sep 5, 2019",60.57
GOOG,"Sep 6, 2019",60.25
GOOG,"Sep 9, 2019",60.22
GOOG,"Sep 10, 2019",60.3
GOOG,"Sep 11, 2019",61.01
GOOG,"Sep 12, 2019",61.71
GOOG,"Sep 13, 2019",61.98
GOOG,"Sep 16, 2019",61.57
GOOG,"Sep 17, 2019",61.46
GOOG,"Sep 18, 2019",61.62
GOOG,"Sep 19, 2019",61.94
GOOG,"Sep 20, 2019",61.5
GOOG,"Sep 23, 2019",61.7
GOOG,"Sep 24, 2019",60.94
GOOG,"Sep 25, 2019",62.33
GOOG,"Sep 26, 2019",62.07
GOOG,"Sep 27, 2019",61.25
GOOG,"Sep 30, 2019",60.95
GOOG,"Oct 1, 2019",60.26
GOOG,"Oct 2, 2019",58.83
GOOG,"Oct 3, 2019",59.39
GOOG,"Oct 4, 2019",60.45
GOOG,"Oct 7, 2019",60.38
GOOG,"Oct 8, 2019",59.46
GOOG,"Oct 9, 2019",60.12
GOOG,"Oct 10, 2019",60.43
GOOG,"Oct 11, 2019",60.77
GOOG,"Oct 14, 2019",60.86
GOOG,"Oct 15, 2019",62.15
GOOG,"Oct 16, 2019",62.18
GOOG,"Oct 17, 2019",62.65
GOOG,"Oct 18, 2019",62.27
GOOG,"Oct 21, 2019",62.31
GOOG,"Oct 22, 2019",62.14
GOOG,"Oct 23, 2019",62.96
GOOG,"Oct 24, 2019",63.05
GOOG,"Oct 25, 2019",63.26
GOOG,"Oct 28, 2019",64.5
GOOG,"Oct 29, 2019",63.13
GOOG,"Oct 30, 2019",63.06
GOOG,"Oct 31, 2019",63.01
GOOG,"Nov 1, 2019",63.69
GOOG,"Nov 4, 2019",64.57
GOOG,"Nov 5, 2019",64.6
GOOG,"Nov 6, 2019",64.59
GOOG,"Nov 7, 2019",65.44
GOOG,"Nov 8, 2019",65.57
GOOG,"Nov 11, 2019",64.96
GOOG,"Nov 12, 2019",64.94
GOOG,"Nov 13, 2019",64.9
GOOG,"Nov 14, 2019",65.57
GOOG,"Nov 15, 2019",66.74
GOOG,"Nov 18, 2019",66.04
GOOG,"Nov 19, 2019",65.77
GOOG,"Nov 20, 2019",65.15
GOOG,"Nov 21, 2019",65.07
GOOG,"Nov 22, 2019",64.77
GOOG,"Nov 25, 2019",65.33
GOOG,"Nov 26, 2019",65.68
